,Contributors,Contributor_type,Date,Set,Genre,Description,Type_of_resource,Source_collection,Language,Medium,Original_format,Part_of,Repository,Subjects,Subject_headings,Title
2452,"Croome, William",Artist,1849,Us-Presidential-Inaugurations,Portrait prints--1840-1850 | Wood engravings--1840-1850,,Still image,,English,1 print : wood engraving.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations | popular graphic arts","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | united states capitol (washington, d.c.) | inauguration | wood engravings | columbus, christopher | interiors | inaugurations | capitols | portrait prints | taylor, zachary | statues | presidential inaugurations","Capitols--Washington (D.C.)--1840-1850 | Columbus, Christopher--Statues--Washington (D.C.) | Presidential inaugurations--1840-1850 | Interiors--Washington (D.C.)--1840-1850 | Taylor, Zachary,--1784-1850--Inaugurations | United States Capitol (Washington, D.C.)--1840-1850",The inauguration of Gen. Zachary Taylor--Dedicated to the Various Rough and Ready Clubs throughout the Union / Drawn on the spot by Wm. Croome ; Engraved by Brightly & Keyser.
2453,Unknown,,1853,Us-Presidential-Inaugurations,Periodical illustrations--1850-1860 | Wood engravings--1850-1860,,Still image,,English,1 print : wood engraving.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | inauguration | pierce, franklin | wood engravings | willard hotel (washington, d.c.) | periodical illustrations | inaugurations | parades & processions | presidential inaugurations","Willard Hotel (Washington, D.C.)--1850-1860 | Parades & processions--Washington (D.C.)--1850-1860 | Pierce, Franklin,--1804-1869--Inaugurations | Presidential inaugurations--Washington (D.C.)--1850-1860","The President leaving Willard's Hotel, Washington"
2456,Unknown,,1865,Us-Presidential-Inaugurations,Wood engravings--1860-1870 | Periodical illustrations--1860-1870,,Still image,,English,1 print : wood engraving.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | oaths | inauguration | wood engravings | periodical illustrations | interiors | inaugurations | johnson, andrew","Interiors--Washington (D.C.)--1860-1870 | Oaths--Washington (D.C.)--1860-1870 | Johnson, Andrew,--1808-1875,--Inaugurations","Andrew Johnson taking the oath of office in the small parlor of the Kirkwood House [Hotel], Washington, [April 15, 1865]"
2457,Unknown,,1873,Us-Presidential-Inaugurations,,,Still image,,English,1 photograph.,"Photo, print, drawing","lot 4990 | prints and photographs division | prints & photographs online catalog (library of congress) | miscellaneous items in high demand | i do solemnly swear..."": presidential inaugurations | catalog","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA dcu http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | inauguration | grant, ulysses s. | (ulysses simpson) | photographic prints | presidential inaugurations","Grant, Ulysses S.--(Ulysses Simpson),--1822-1885--Inauguration, 1873. | Presidential inaugurations--Washington (D.C.)--1870-1880. | Washington (D.C.)",[Innauguration of Harding]
2458,"Thulstrup, Thure de",Artist,1885,Us-Presidential-Inaugurations,Wood engravings--1880-1890 | Periodical illustrations--1880-1890,,Still image,,English,1 print : wood engraving.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | fireworks | inauguration | cleveland, grover | wood engravings | periodical illustrations | night | inaugurations | washington monument (washington, d.c.) | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1880-1890 | Fireworks--Washington (D.C.)--1880-1890 | Cleveland, Grover,--1837-1908--Inaugurations | Night--Washington (D.C.)--1880-1890 | Washington Monument (Washington, D.C.)--1880-1890",The inauguration - night scene near the White House / Drawn by T. de Thulstrup and Charles Graham.
2459,Unknown,,1889,Us-Presidential-Inaugurations,Photographic prints--1880-1890,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | crowds | oaths | inauguration | united states capitol (washington, d.c.) | harrison, benjamin | inaugurations | photographic prints | presidential inaugurations","Harrison, Benjamin,--1833-1901--Inaugurations | Presidential inaugurations--Washington (D.C.)--1880-1890 | Crowds--Washington (D.C.)--1880-1890 | United States Capitol (Washington, D.C.)--1880-1890 | Oaths--Washington (D.C.)--1880-1890","[Chief Justice Melville W. Fuller administering the oath of office to Benjamin Harrison on the east portico of the U.S. Capitol, March 4, 1889]"
2460,Unknown,,1897,Us-Presidential-Inaugurations,Photographic prints--1890-1900,"McKinley speaking as Cleveland, seated, listens.",Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | mckinley, william | crowds | inauguration | inaugurations | photographic prints | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1890-1900 | McKinley, William,--1843-1901--Inaugurations | Crowds--Washington (D.C.)--1890-1900","The new President delivering his inaugural address [March 4, 1897]"
2461,Unknown,,1905,Us-Presidential-Inaugurations,Photographic prints--1900-1910,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations | bain collection","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","roosevelt, theodore | washington (d.c.) | inauguration | inaugurations | parades & processions | photographic prints | presidential inaugurations","Roosevelt, Theodore,--1858-1919--Inaugurations | Parades & processions--Washington (D.C.)--1900-1910 | Presidential inaugurations--Washington (D.C.)--1900-1910","[Theodore Roosevelt in carriage on Pennsylvania Avenue on way to Capitol, March 4, 1905]"
2462,Unknown,,1909,Us-Presidential-Inaugurations,Photographic prints--1900-1910,"View of photographers with their cameras, above a snow-covered wall.",Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations | bain collection","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | inauguration | taft, william h. | photographers | inaugurations | snow | photographic prints | (william howard) | presidential inaugurations","Taft, William H.--(William Howard),--1857-1930--Inaugurations | Snow--Washington (D.C.)--1900-1910 | Photographers--Washington (D.C.)--1900-1910 | Presidential inaugurations--Washington (D.C.)--1900-1910","[Photographers at President Taft's inauguration, March 4, 1909]"
2463,Unknown,,1913,Us-Presidential-Inaugurations,Photographic prints--1910-1920,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | wilson, woodrow | taft, william h. | inauguration | inaugurations | photographic prints | (william howard) | presidential inaugurations","Wilson, Woodrow,--1856-1924--Inaugurations | Taft, William H.--(William Howard),--1857-1930--Public appearances | Presidential inaugurations--Washington (D.C.)--1910-1920","[President-elect Wilson and President Taft, standing side by side, laughing, at the White House, prior to Wilson's inauguration ceremonies, March 4, 1913]"
2464,Unknown,,1921,Us-Presidential-Inaugurations,Photographic prints--1920-1930,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | crowds | harding, warren g. | inauguration | united states capitol (washington, d.c.) | inaugurations | photographic prints | (warren gamaliel) | presidential inaugurations","Crowds--Washington (D.C.)--1920-1930 | United States Capitol (Washington, D.C.)--1920-1930 | Harding, Warren G.--(Warren Gamaliel),--1865-1923--Inaugurations | Presidential inaugurations--Washington (D.C.)--1920-1930","[President Harding delivering his inaugural address on east portico of U.S. Capitol, March 4, 1921]"
2465,Unknown,,1925,Us-Presidential-Inaugurations,Photographic prints--1920-1930,Coolidge and others riding in a convertible.,Still image,,English,1 photographic print.,"Photo, print, drawing","national photo company collection | prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | inauguration | coolidge, grace goodhue | coolidge, calvin | inaugurations | parades & processions | photographic prints | presidential inaugurations | curtis, charles","Curtis, Charles,--1860-1936--Public appearances | Coolidge, Grace Goodhue,--1879-1957--Public appearances | Parades & processions--Washington (D.C.)--1920-1930 | Presidential inaugurations--Washington (D.C.)--1920-1930 | Coolidge, Calvin,--1872-1933--Inaugurations","President Coolidge, Mrs. Coolidge and Senator Curtis on the way to the Capitol"
2466,Unknown,,1929,Us-Presidential-Inaugurations,Photographic prints--1920-1930,"Interior view of the ballroom of the Mayflower Hotel, 1127 Connecticut Avenue, N.W., Washington, D.C., showing crowd dancing at President Hoover's inaugural ball, March 4, 1929.",Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | national photo company collection | lot 12285 | i do solemnly swear..."": presidential inaugurations | catalog","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | balls (parties) | inauguration | hoover, herbert | interiors | inaugurations | photographic prints | presidential inaugurations","Balls (Parties)--Washington (D.C.)--1920-1930 | Interiors--Washington (D.C.)--1920-1930 | Hoover, Herbert,--1874-1964--Inaugurations | Presidential inaugurations--Washington (D.C.)--1920-1930",The inaugural charity ball
2467,Unknown,,1933,Us-Presidential-Inaugurations,Photographic prints--1930-1940,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | inauguration | roosevelt, franklin d. | hoover, herbert | inaugurations | (franklin delano) | photographic prints | presidential inaugurations","Hoover, Herbert,--1874-1964--Public appearances | Roosevelt, Franklin D.--(Franklin Delano),--1882-1945--Inaugurations | Presidential inaugurations--Washington (D.C.)--1930-1940","[Franklin Delano Roosevelt and Herbert Hoover in convertible automobile on way to U.S. Capitol for Roosevelt's inauguration, March 4, 1933]"
2468,Unknown,,1949,Us-Presidential-Inaugurations,Photographic prints--1940-1950,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | crowds | inauguration | truman, harry s. | inaugurations | photographic prints | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1940-1950 | Crowds--Washington (D.C.)--1940-1950 | Truman, Harry S.,--1884-1972--Inaugurations","Inauguration of Harry S. Truman, 1949"
2469,Unknown,,1945,Us-Presidential-Inaugurations,Photographic prints--1940-1950,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | oaths | inauguration | truman, harry s. | stone, harlan fiske | inaugurations | photographic prints | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1940-1950 | Oaths--Washington (D.C.)--1940-1950 | Truman, Harry S.,--1884-1972--Inaugurations | Stone, Harlan Fiske,--1872-1946--Public appearances","[Chief Justice Harlan F. Stone administering the oath of office to Harry S. Truman in the Cabinet Room of the White House, April 12, 1945]"
2470,Unknown,,1957,Us-Presidential-Inaugurations,Photographic prints--1950-1960 | Group portraits--1950-1960 | Portrait photographs--1950-1960,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations",,"public appearances | washington (d.c.) | (william fife) | oaths | portrait photographs | inauguration | eisenhower, dwight d. | group portraits | warren, earl | (dwight david) | inaugurations | knowland, william f. | photographic prints | presidential inaugurations","Warren, Earl,--1891-1974--Public appearances | Eisenhower, Dwight D.--(Dwight David),--1890-1969--Inaugurations | Knowland, William F.--(William Fife),--1908-1974--Public appearances | Oaths--Washington (D.C.)--1950-1960 | Presidential inaugurations--Washington (D.C.)--1950-1960","[Dwight D. Eisenhower taking oath of office in a private ceremony in the East Room of the White House Left to right are: Sen. William Knowland, Chief Justice Earl Warren, Frank San[...], Mrs. Patricia Nixon, Mamie Eisenhower, President Eisenhower, and Richard Nixon]."
2471,Unknown,,1961,Us-Presidential-Inaugurations,Photographic prints--1960-1970,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | inauguration | (john fitzgerald) | shaking hands | kennedy, john f. | inaugurations | photographic prints | presidential inaugurations","Kennedy, John F.--(John Fitzgerald),--1917-1963--Inaugurations | Presidential inaugurations--Washington (D.C.)--1960-1970 | Shaking hands--Washington (D.C.)--1960-1970","President-elect John F. Kennedy shakes hands with Father Richard J. Casey, the pastor, after attending Mass at Holy Trinity Church [...] prior to inauguration ceremonies"
2472,Unknown,,1965,Us-Presidential-Inaugurations,Photographic prints--Color--1960-1970,,Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | color | crowds | inauguration | inaugurations | johnson, lyndon b. | (lyndon baines) | photographic prints | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1960-1970 | Crowds--Washington (D.C.)--1960-1970 | Johnson, Lyndon B.--(Lyndon Baines),--1908-1973--Inaugurations","[Crowd on Capitol grounds, attending inauguration of Lyndon B. Johnson]"
2473,Unknown,,1969,Us-Presidential-Inaugurations,Photographic prints--Color--1960-1970,,Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | color | crowds | inauguration | oaths | nixon, pat | nixon, richard m. | warren, earl | inaugurations | photographic prints | (richard milhous) | presidential inaugurations","Warren, Earl,--1891-1974--Public appearances | Crowds--Washington (D.C.)--1960-1970 | Nixon, Richard M.--(Richard Milhous),--1913-1994--Inaugurations | Oaths--Washington (D.C.)--1960-1970 | Presidential inaugurations--Washington (D.C.)--1960-1970 | Nixon, Pat,--1912-1993--Public appearances","[Chief Justice Earl Warren administering the oath of office to Richard M. Nixon on the east portico of the U.S. Capitol, January 20, 1969]"
2474,"Trikosko, Marion S",Photographer,1977,Us-Presidential-Inaugurations,Film negatives--1970-1980,,Still image,,English,1 negative : film.,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","carter, jimmy | public appearances | washington (d.c.) | balls (parties) | carter, rosalynn | inaugurations | ballroom dancing | film negatives | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1970-1980 | Carter, Jimmy,--1924---Inaugurations | Carter, Rosalynn,--Public appearances--Washington (D.C.) | Balls (Parties)--Washington (D.C.)--1970-1980 | Ballroom dancing--Washington (D.C.)--1970-1980","[President Jimmy Carter and First Lady Rosalynn Carter dancing at an inaugural ball, Washington, D.C.]"
2475,Unknown,,1981,Us-Presidential-Inaugurations,Photographic prints--Color--1980-1990,,Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | color | inauguration | inaugurations | photographic prints | luncheons | reagan, ronald | presidential inaugurations","Presidential inaugurations--Washington (D.C.)--1980-1990 | Luncheons--Washington (D.C.)--1980-1990 | Reagan, Ronald--Inaugurations","[President Reagan's inaugural luncheon in the U.S. Capitol, January 20, 1981]"
2476,Unknown,,1989,Us-Presidential-Inaugurations,Photographic prints--Color--1980-1990,,Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","public appearances | washington (d.c.) | bush, george | oaths | inauguration | rehnquist, william h. | inaugurations | bush, barbara | color | photographic prints | presidential inaugurations","Bush, Barbara,--1925-2018--Public appearances | Rehnquist, William H.,--1924-2005--Public appearances | Oaths--Washington (D.C.)--1980-1990 | Presidential inaugurations--Washington (D.C.)--1980-1990 | Bush, George,--1924-2018--Inaugurations","[Chief Justice William Rehnquist administering the oath of office to George Bush on the west front of the U.S. Capitol, with Barbara Bush smiling and looking on, January 20, 1989]"
2477,Unknown,,1997,Us-Presidential-Inaugurations,Photographic prints--Color--1990-2000,,Still image,,English,1 photographic print : color.,"Photo, print, drawing","prints and photographs division | catalog | i do solemnly swear..."": presidential inaugurations","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | color | clinton, bill | inauguration | inaugurations | photographic prints | presidential inaugurations","Clinton, Bill,--1946---Inaugurations | Presidential inaugurations--Washington (D.C.)--1990-2000","[President Bill Clinton delivering his inaugural address on the west front of the U.S. Capitol, January 20, 1997]"
2478,"Highsmith, Carol M",Photographer,2009,Us-Presidential-Inaugurations,Digital photographs--Color--2000-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | united states | parades & processions | district of columbia | color | digital photographs,United States--District of Columbia--Washington (D.C.) | Parades & processions--District of Columbia--Washington (D.C.)--2000-2010,"2009 Inaugural Parade. Michelle and Barack Obama join Joe and Jill Biden watch the parade from the viewing stand in front of the White House, Washington, D.C."
2490,"Bubley, Esther",Photographer,1943,Football,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 943 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Watching a football game"
2492,"Bubley, Esther",Photographer,1943,Football,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 943 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Woodrow Wilson High School manager watching a football game from the sidelines"
2493,"Bubley, Esther",Photographer,1943,Football,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 943 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Watching a football game at Woodrow Wilson High School"
2496,"Bubley, Esther",Photographer,1943,Football,Safety film negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 944 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Walter Spangenberg at a pep assembly held the day before a football game at Woodrow Wilson High School"
2498,"Bubley, Esther",Photographer,1943,Football,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 943 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Members of the Woodrow Wilson High School football team watching a game from the sidelines"
2510,Harris & Ewing,Photographer,1930,Holidays,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"[Snowball fight in front of U.S. Capitol, Washington, D.C.]"
2513,Unknown,,1927,Holidays,,,Still image,,English,1 photographic print.,"Photo, print, drawing","prints and photographs division | lot 12299 | national photo company collection | american memory | prosperity and thrift: the coolidge era and the consumer economy, 1921-1929 | catalog",,"queues | washington (d.c.) | white house (washington, d.c.) | new year | photographic prints","Queues--1920-1930.--Washington (D.C.) | New Year--1920-1930 | White House (Washington, D.C.)--1920-1930",New Year reception at the White House. Photo shows thousands of citizens waiting to be received
2522,"Highsmith, Carol M",Photographer,1997,Holidays,Transparencies--Color--1990-2000,"Photo shows the National Christmas Tree on the Ellipse of the White House, with the Washington Monument in the background.",Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",christmas trees | washington (d.c.) | transparencies | america | united states | district of columbia | color,Christmas Trees--Washington (D.C.)--1990-2000 | United States--District of Columbia--Washington (D.C.) | America,"National Christmas tree on the National Mall in Washington, D.C."
2545,"Parks, Gordon",Photographer,1942,Thanksgiving,Safety film negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : safety ; 4 x 5 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 166 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Dr. Mordica [i.e. Mordecai] Johnson, president of Howard University, serving portions of Thanksgiving turkey to members of his family"
2562,Harris & Ewing,Photographer,1915,Thanksgiving,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"PAN AMERICAN MASS. THANKSGIVING DAY AT ST. PATRICK'S. CROWDS LEAVING ST. PATRICK'S. SECRETARY LANE, UPPER LEFT CENTER"
